name,fwd_bb,fwd_bl,fwd_bl_within,rev_bb,rev_bl,fwd_dcgain,locus,annot,fwd_r2_WT,fwd_r2_toc1,fwd_nugap,fwd_within,rev_r2_WT,rev_r2_toc1,rev_nugap,rev_within,period_WT,period_toc1,dperiod,period_class,does_not_shorten,fwd_reliable,rev_reliable,robust_both,robust_bl
245306_at,0.25946764485714896,0.20773486448297182,0.09442148040797019,0.03605624772384798,0.029336282787765903,0.9403645826037406,AT4G14690,ELIP2 (EARLY LIGHT-INDUCIBLE PROTEIN 2); chlorophyll binding,0.775033028206031,0.8363761477454731,0.2594676448571489,0.0950197854050355,0.4203746234155148,0.2880995565819603,0.0360562477238479,0.1224267048014721,24.75,20.5,-4.25,shortened,False,True,False,False,False
248596_at,0.7205027735949119,0.3672969572314241,0.2643374877840915,0.15325788438732169,0.14527319305975372,1.0525385364726463,AT5G49330,AtMYB111 (myb domain protein 111); DNA binding / transcription factor,0.1681546209610324,0.356728420155331,0.7205027735949119,0.4075409077634397,0.4591094166998531,0.851766052109631,0.1532578843873216,0.3803053212613692,26.25,22.0,-4.25,,False,False,False,False,False
245668_at,0.13661219006284792,0.13417609455529603,0.11566212649702362,0.131702656516016,0.09378507140045653,0.8488599891507973,AT1G28330,DRM1 (DORMANCY-ASSOCIATED PROTEIN 1),0.7670568565621009,0.823868078429325,0.1366121900628479,0.119355110656679,0.4547408678088501,0.0607313415869007,0.131702656516016,0.1755967086744967,24.25,21.75,-2.5,shortened,False,True,False,False,False
266514_at,0.22695992396937142,0.17620512296569757,0.15288523486099864,0.20723997159787294,0.15103474704232103,0.8960730743181132,AT2G47890,zinc finger (B-box type) family protein,0.7293260113236726,0.6439446749057446,0.2269599239693714,0.1533562456753041,0.6813307535298744,0.7701131489929559,0.2072399715978729,0.0970184064386061,23.0,21.75,-1.25,shortened,False,True,True,False,False
253322_at,0.15729329214927698,0.1323199192631151,0.13426066806788106,0.25525564333182815,0.160877422671522,0.832620459141279,AT4G33980,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN64989.1),0.8384148845934062,0.8262211862614669,0.1572932921492769,0.1719227117028787,0.3172547474232882,0.2292602601106279,0.2552556433318281,0.2372986420668908,23.75,22.5,-1.25,shortened,False,True,False,False,False
248910_at,0.3632625823233101,0.24605565410444002,0.5308974688451086,0.7122719520872727,0.6213180778871888,0.31317822718450194,AT5G45820,CIPK20 (CBL-INTERACTING PROTEIN KINASE 20); kinase,0.068874286764856,0.1922899596022667,0.3632625823233101,0.7553092581746992,0.034930816593126,0.4943427870563618,0.7122719520872727,0.4379961521842028,24.0,22.0,-2.0,shortened,False,False,False,False,False
247478_at,0.2694559653593709,0.2095717545912148,0.09581506358036976,0.021048737183863644,0.021048728956922357,0.8299833282036416,AT5G62360,invertase/pectin methylesterase inhibitor family protein,0.7594116466807351,0.5823534330866302,0.2694559653593709,0.1170914448233862,0.62225518905902,0.6616040425717186,0.0210487371838636,0.2120341435320355,24.0,22.0,-2.0,shortened,False,True,True,False,False
261226_at,0.1524109908606636,0.11908989665189194,0.08339157474948534,0.09031243710902294,0.09031246425893386,1.0241503008849715,AT1G20190,ATEXPA11 (ARABIDOPSIS THALIANA EXPANSIN A11),0.722574570500631,0.6000519310763521,0.1524109908606636,0.090612229273201,0.6160255831236092,0.6054580252757612,0.0903124371090229,0.3849109620131871,23.5,23.5,0.0,invariant,True,True,True,False,True
247474_at,0.4506558784121226,0.20968912514521504,0.4517942142350625,0.40374177135519357,0.23366251121685663,3.259076015427218,AT5G62280,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G45360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49726.1); contains InterPro domain Protein of unknown function DUF1442 (InterPro:IPR009902),-0.8075875092414737,0.2728591038029482,0.4506558784121226,0.6307677747810758,0.4404464642939408,0.5612880728266123,0.4037417713551935,0.5217969800193821,24.75,22.75,-2.0,shortened,False,False,False,False,False
247323_at,0.23297770552772346,0.21283321641990485,0.2361952289771002,0.8708587776966216,0.4489613067602371,0.19586138825568497,AT5G64170,dentin sialophosphoprotein-related,0.1871626839162915,0.1744438764639085,0.2329777055277234,0.2409035085867212,0.2145834511057086,0.020060844273914,0.8708587776966216,0.2540254176252301,24.5,21.5,-3.0,shortened,False,False,False,False,False
