name,locus,annot,fwd_r2_WT,fwd_r2_toc1,fwd_nugap,fwd_within,rev_r2_WT,rev_r2_toc1,rev_nugap,rev_within,period_WT,period_toc1,dperiod,period_class,does_not_shorten,fwd_reliable,rev_reliable,robust_both
245306_at,AT4G14690,ELIP2 (EARLY LIGHT-INDUCIBLE PROTEIN 2); chlorophyll binding,0.775033028206031,0.8363761477454731,0.25946764485714896,0.09501978540503554,0.4203746234155148,0.2880995565819603,0.03605624772384798,0.12242670480147219,24.75,20.5,-4.25,shortened,False,True,False,False
248596_at,AT5G49330,AtMYB111 (myb domain protein 111); DNA binding / transcription factor,0.1681546209610324,0.356728420155331,0.7205027735949119,0.4075409077634397,0.45910941669985317,0.851766052109631,0.15325788438732169,0.3803053212613692,26.25,22.0,-4.25,,False,False,False,False
245668_at,AT1G28330,DRM1 (DORMANCY-ASSOCIATED PROTEIN 1),0.7670568565621009,0.823868078429325,0.13661219006284792,0.11935511065667909,0.45474086780885015,0.060731341586900744,0.131702656516016,0.17559670867449673,24.25,21.75,-2.5,shortened,False,True,False,False
266514_at,AT2G47890,zinc finger (B-box type) family protein,0.7293260113236726,0.6439446749057446,0.22695992396937142,0.15335624567530418,0.6813307535298744,0.7701131489929559,0.20723997159787294,0.09701840643860613,23.0,21.75,-1.25,shortened,False,True,True,False
253322_at,AT4G33980,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42900.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN64989.1),0.8384148845934062,0.8262211862614669,0.15729329214927698,0.1719227117028787,0.3172547474232882,0.22926026011062794,0.25525564333182815,0.23729864206689086,23.75,22.5,-1.25,shortened,False,True,False,False
248910_at,AT5G45820,CIPK20 (CBL-INTERACTING PROTEIN KINASE 20); kinase,0.06887428676485607,0.1922899596022667,0.3632625823233101,0.7553092581746992,0.034930816593126024,0.4943427870563618,0.7122719520872727,0.43799615218420285,24.0,22.0,-2.0,shortened,False,False,False,False
247478_at,AT5G62360,invertase/pectin methylesterase inhibitor family protein,0.7594116466807351,0.5823534330866302,0.2694559653593709,0.1170914448233862,0.62225518905902,0.6616040425717186,0.021048737183863644,0.2120341435320355,24.0,22.0,-2.0,shortened,False,True,True,False
261226_at,AT1G20190,ATEXPA11 (ARABIDOPSIS THALIANA EXPANSIN A11),0.722574570500631,0.6000519310763521,0.1524109908606636,0.09061222927320103,0.6160255831236092,0.6054580252757612,0.09031243710902294,0.3849109620131871,23.5,23.5,0.0,invariant,True,True,True,False
247474_at,AT5G62280,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G45360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49726.1); contains InterPro domain Protein of unknown function DUF1442 (InterPro:IPR009902),-0.8075875092414737,0.2728591038029482,0.4506558784121226,0.6307677747810758,0.44044646429394085,0.5612880728266123,0.40374177135519357,0.5217969800193821,24.75,22.75,-2.0,shortened,False,False,False,False
247323_at,AT5G64170,dentin sialophosphoprotein-related,0.18716268391629154,0.17444387646390858,0.23297770552772346,0.24090350858672122,0.21458345110570864,0.02006084427391408,0.8708587776966216,0.2540254176252301,24.5,21.5,-3.0,shortened,False,False,False,False
256266_at,AT3G12320,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06980.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75675.1),0.5161335031167281,0.2768289797102632,0.2675948171831617,0.06275667326559162,0.08288934878809229,0.29971682507936637,0.530620175253018,0.29389438978242144,24.0,21.5,-2.5,shortened,False,False,False,False
253140_at,AT4G35480,RHA3B (RING-H2 finger A3B); protein binding / zinc ion binding,0.7288477170145304,0.7470193294682982,0.14541665715001278,0.228447687035005,0.6360896213403665,0.3379597766713609,0.3269985132433583,0.27979363325975914,23.75,21.75,-2.0,,False,True,False,False
259373_at,AT1G69160,unknown protein,0.5975035382605742,0.6104879037038028,0.05099803371536646,0.20590817324815777,0.3020585131785679,0.08644573790875065,0.8310910801025644,0.6066616636812271,23.5,19.5,-4.0,,False,True,False,False
262290_at,AT1G70985,hydroxyproline-rich glycoprotein family protein,0.6973821964923532,0.7577197252527289,0.035393957403680426,0.08834753508706414,0.46107247548985686,0.6552836837657842,0.1960290745805465,0.08135745292464426,23.75,20.75,-3.0,shortened,False,True,False,False
248502_at,AT5G50450,zinc finger (MYND type) family protein,0.7689031557426752,0.7834833863822513,0.1190629456370302,0.08092014705297491,0.44084409185808393,0.4589870614374778,0.226413468126187,0.1055815454267949,24.25,21.75,-2.5,shortened,False,True,False,False
261407_at,AT1G18810,phytochrome kinase substrate-related,0.38124288783835136,0.1642899118945047,0.48328023415386734,0.1501151433351139,0.388551652773214,0.0015635225952114196,0.806652368557784,0.2016969532234447,25.5,24.25,-1.25,shortened,False,False,False,False
262113_at,AT1G02820,late embryogenesis abundant 3 family protein / LEA3 family protein,0.5742205109561663,0.6634492019000164,0.22589131944645915,0.060593912241207956,0.2996530489828617,0.10305547222622213,0.15271146405326402,0.1554411002335811,25.0,20.25,-4.75,shortened,False,True,False,False
